Country,EdLevel,Age,YearsCodePro,Salary
Germany,Master degree,25-34 years old,6.0,75410.0
United States of America,Bachelor degree,35-44 years old,15.0,165000.0
Germany,Post grad,45-54 years old,23.0,75410.0
Germany,Bachelor degree,45-54 years old,15.0,104413.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,35-44 years old,11.0,120485.0
United Kingdom of Great Britain and Northern Ireland,Post grad,25-34 years old,12.0,68071.0
Italy,Less than a Bachelors,55-64 years old,39.0,46406.0
Germany,Master degree,35-44 years old,11.0,116015.0
Canada,Bachelor degree,18-24 years old,3.0,72958.0
Canada,Bachelor degree,45-54 years old,30.0,94846.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,35-44 years old,25.0,49011.0
Germany,Master degree,35-44 years old,12.0,58007.0
Canada,Post grad,45-54 years old,20.0,102142.0
United Kingdom of Great Britain and Northern Ireland,Master degree,35-44 years old,18.0,74878.0
France,Master degree,45-54 years old,25.0,87011.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,35-44 years old,20.0,129334.0
United States of America,Bachelor degree,45-54 years old,25.0,190000.0
Spain,Master degree,25-34 years old,4.0,34804.0
United States of America,Less than a Bachelors,35-44 years old,25.0,155000.0
Brazil,Bachelor degree,18-24 years old,4.0,41765.0
Germany,Bachelor degree,25-34 years old,12.0,116015.0
United Kingdom of Great Britain and Northern Ireland,Master degree,45-54 years old,24.0,136141.0
Ukraine,Bachelor degree,18-24 years old,4.0,22456.0
United States of America,Bachelor degree,18-24 years old,2.0,70000.0
United States of America,Master degree,35-44 years old,17.0,140000.0
Germany,Bachelor degree,18-24 years old,5.0,63808.0
Canada,Bachelor degree,35-44 years old,13.0,248250.0
United States of America,Bachelor degree,35-44 years old,14.0,200000.0
Germany,Bachelor degree,45-54 years old,25.0,69609.0
United States of America,Bachelor degree,35-44 years old,15.0,165000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,13.0,97682.0
Canada,Master degree,45-54 years old,27.0,98494.0
United States of America,Bachelor degree,35-44 years old,9.0,135000.0
United Kingdom of Great Britain and Northern Ireland,Master degree,25-34 years old,6.0,91215.0
Germany,Master degree,25-34 years old,8.0,104413.0
Germany,Master degree,35-44 years old,12.0,107894.0
United States of America,Less than a Bachelors,55-64 years old,24.0,80000.0
United States of America,Less than a Bachelors,25-34 years old,8.0,60000.0
Netherlands,Bachelor degree,35-44 years old,12.0,51274.0
United States of America,Master degree,35-44 years old,17.0,140000.0
United States of America,Master degree,55-64 years old,42.0,140000.0
Canada,Bachelor degree,25-34 years old,10.0,145917.0
United States of America,Bachelor degree,45-54 years old,20.0,162000.0
Germany,Master degree,45-54 years old,20.0,117175.0
India,Master degree,35-44 years old,13.0,79043.0
United States of America,Bachelor degree,55-64 years old,38.0,150000.0
United States of America,Less than a Bachelors,35-44 years old,11.0,135000.0
France,Master degree,35-44 years old,15.0,52207.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,35-44 years old,20.0,106190.0
United Kingdom of Great Britain and Northern Ireland,Master degree,35-44 years old,15.0,76512.0
France,Post grad,35-44 years old,2.0,23203.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,18-24 years old,3.0,81685.0
United States of America,Bachelor degree,18-24 years old,4.0,106000.0
Germany,Master degree,35-44 years old,13.0,139218.0
United States of America,Bachelor degree,18-24 years old,1.0,100000.0
Spain,Less than a Bachelors,45-54 years old,25.0,20883.0
United States of America,Bachelor degree,45-54 years old,22.0,250000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,45-54 years old,21.0,74878.0
United States of America,Less than a Bachelors,45-54 years old,29.0,210000.0
Brazil,Master degree,35-44 years old,13.0,24211.0
India,Bachelor degree,18-24 years old,1.0,11624.0
Spain,Bachelor degree,35-44 years old,10.0,127616.0
United States of America,Master degree,55-64 years old,40.0,175000.0
United States of America,Bachelor degree,45-54 years old,27.0,250000.0
Netherlands,Bachelor degree,25-34 years old,3.0,63808.0
United States of America,Less than a Bachelors,25-34 years old,13.0,100000.0
France,Less than a Bachelors,25-34 years old,6.0,46406.0
Canada,Less than a Bachelors,35-44 years old,23.0,109438.0
Netherlands,Less than a Bachelors,45-54 years old,30.0,75410.0
Italy,Less than a Bachelors,45-54 years old,30.0,34804.0
Germany,Master degree,45-54 years old,28.0,119495.0
Canada,Bachelor degree,18-24 years old,2.0,65663.0
Canada,Post grad,25-34 years old,8.0,58367.0
Italy,Bachelor degree,25-34 years old,9.0,52207.0
France,Less than a Bachelors,25-34 years old,3.0,48726.0
France,Master degree,35-44 years old,14.0,92812.0
Germany,Master degree,18-24 years old,4.0,83531.0
Canada,Bachelor degree,18-24 years old,2.0,43775.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,35-44 years old,24.0,163370.0
Netherlands,Bachelor degree,35-44 years old,15.0,127616.0
Brazil,Master degree,35-44 years old,16.0,70994.0
United States of America,Bachelor degree,25-34 years old,3.0,200000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,55-64 years old,43.0,163370.0
India,Bachelor degree,25-34 years old,10.0,232479.0
Germany,Bachelor degree,25-34 years old,6.0,69609.0
Germany,Bachelor degree,25-34 years old,12.0,98612.0
United States of America,Bachelor degree,55-64 years old,38.0,99000.0
United States of America,Bachelor degree,55-64 years old,20.0,240000.0
United States of America,Bachelor degree,25-34 years old,8.0,150000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,11.0,156563.0
Canada,Bachelor degree,35-44 years old,15.0,109438.0
United States of America,Less than a Bachelors,55-64 years old,40.0,162000.0
United States of America,Bachelor degree,35-44 years old,13.0,160000.0
United States of America,Bachelor degree,25-34 years old,10.0,230000.0
Netherlands,Master degree,35-44 years old,9.0,52207.0
United States of America,Bachelor degree,35-44 years old,15.0,175000.0
United States of America,Bachelor degree,55-64 years old,30.0,104000.0
United States of America,Bachelor degree,25-34 years old,14.0,135000.0
Canada,Less than a Bachelors,25-34 years old,7.0,73688.0
United States of America,Less than a Bachelors,35-44 years old,19.0,125000.0
Germany,Master degree,25-34 years old,13.0,52207.0
Germany,Master degree,25-34 years old,10.0,126456.0
Germany,Master degree,35-44 years old,17.0,98612.0
United States of America,Less than a Bachelors,35-44 years old,25.0,250000.0
United States of America,Bachelor degree,35-44 years old,14.0,173250.0
Spain,Less than a Bachelors,25-34 years old,11.0,96524.0
United States of America,Bachelor degree,35-44 years old,22.0,205000.0
United States of America,Less than a Bachelors,25-34 years old,6.0,120000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,7.0,118443.0
India,Master degree,25-34 years old,12.0,116240.0
Germany,Master degree,35-44 years old,17.0,104413.0
Canada,Bachelor degree,25-34 years old,8.0,72958.0
United States of America,Bachelor degree,65 years or older,46.0,195000.0
United States of America,Bachelor degree,25-34 years old,5.0,120000.0
United States of America,Bachelor degree,35-44 years old,10.0,175000.0
United States of America,Less than a Bachelors,45-54 years old,26.0,120000.0
Germany,Bachelor degree,25-34 years old,1.0,55687.0
France,Post grad,45-54 years old,25.0,185623.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,35-44 years old,14.0,176984.0
United States of America,Less than a Bachelors,65 years or older,50.0,40000.0
Italy,Less than a Bachelors,25-34 years old,8.0,40605.0
United States of America,Bachelor degree,45-54 years old,25.0,120000.0
Germany,Master degree,35-44 years old,12.0,104413.0
Germany,Bachelor degree,25-34 years old,3.0,60328.0
Italy,Less than a Bachelors,45-54 years old,15.0,49886.0
United States of America,Master degree,45-54 years old,6.0,130000.0
United States of America,Master degree,35-44 years old,20.0,160000.0
United States of America,Less than a Bachelors,35-44 years old,12.0,127500.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,45-54 years old,30.0,106190.0
United States of America,Master degree,45-54 years old,35.0,120000.0
Netherlands,Bachelor degree,45-54 years old,35.0,139218.0
Italy,Bachelor degree,25-34 years old,7.0,40605.0
United States of America,Master degree,35-44 years old,15.0,185000.0
United States of America,Less than a Bachelors,55-64 years old,40.0,140000.0
United States of America,Master degree,35-44 years old,9.0,210000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,35-44 years old,12.0,78281.0
Germany,Bachelor degree,25-34 years old,11.0,104413.0
Canada,Post grad,45-54 years old,29.0,97764.0
Germany,Master degree,55-64 years old,33.0,69609.0
Brazil,Bachelor degree,25-34 years old,4.0,17840.0
United States of America,Bachelor degree,35-44 years old,21.0,250000.0
Netherlands,Bachelor degree,25-34 years old,9.0,98612.0
United States of America,Bachelor degree,25-34 years old,8.0,100000.0
United Kingdom of Great Britain and Northern Ireland,Master degree,45-54 years old,18.0,149756.0
United States of America,Bachelor degree,35-44 years old,24.0,104000.0
United States of America,Master degree,45-54 years old,20.0,200000.0
Brazil,Master degree,45-54 years old,30.0,14563.0
Germany,Less than a Bachelors,18-24 years old,1.0,14687.0
Spain,Master degree,35-44 years old,18.0,92812.0
Germany,Master degree,25-34 years old,7.0,92812.0
Canada,Bachelor degree,35-44 years old,18.0,109438.0
United States of America,Bachelor degree,25-34 years old,9.0,144000.0
United States of America,Bachelor degree,25-34 years old,10.0,250000.0
Netherlands,Post grad,25-34 years old,6.0,81210.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,35-44 years old,10.0,54457.0
United States of America,Less than a Bachelors,45-54 years old,12.0,125000.0
Canada,Master degree,45-54 years old,30.0,218875.0
United States of America,Post grad,35-44 years old,8.0,90000.0
France,Master degree,25-34 years old,3.0,85039.0
United States of America,Bachelor degree,45-54 years old,23.0,138000.0
Canada,Master degree,25-34 years old,10.0,109438.0
United States of America,Master degree,45-54 years old,8.0,95000.0
United States of America,Master degree,25-34 years old,6.0,212750.0
Germany,Post grad,35-44 years old,13.0,95132.0
Germany,Bachelor degree,35-44 years old,21.0,116015.0
Germany,Bachelor degree,35-44 years old,18.0,92812.0
Brazil,Less than a Bachelors,25-34 years old,14.0,90000.0
United States of America,Master degree,45-54 years old,30.0,240000.0
Netherlands,Less than a Bachelors,25-34 years old,2.0,78890.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,10.0,108913.0
Canada,Less than a Bachelors,18-24 years old,4.0,25535.0
United States of America,Bachelor degree,25-34 years old,6.0,90000.0
United States of America,Less than a Bachelors,55-64 years old,35.0,120000.0
United States of America,Bachelor degree,25-34 years old,13.0,185000.0
Spain,Bachelor degree,35-44 years old,9.0,31324.0
Spain,Master degree,35-44 years old,15.0,52207.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,45-54 years old,18.0,204212.0
United States of America,Bachelor degree,25-34 years old,11.0,119000.0
Italy,Bachelor degree,55-64 years old,38.0,69609.0
United Kingdom of Great Britain and Northern Ireland,Post grad,35-44 years old,7.0,61264.0
Italy,Less than a Bachelors,25-34 years old,5.0,30164.0
France,Master degree,25-34 years old,5.0,61488.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,35-44 years old,18.0,204212.0
United States of America,Less than a Bachelors,35-44 years old,7.0,114038.0
Germany,Master degree,45-54 years old,20.0,106733.0
Germany,Post grad,45-54 years old,30.0,208826.0
Canada,Bachelor degree,25-34 years old,7.0,31372.0
United States of America,Less than a Bachelors,35-44 years old,20.0,180000.0
United States of America,Master degree,35-44 years old,19.0,117700.0
Germany,Post grad,55-64 years old,42.0,162421.0
France,Master degree,45-54 years old,28.0,89331.0
United States of America,Bachelor degree,35-44 years old,13.0,172000.0
United States of America,Post grad,45-54 years old,24.0,95000.0
United States of America,Master degree,25-34 years old,5.0,220000.0
Germany,Master degree,55-64 years old,35.0,203026.0
United States of America,Master degree,35-44 years old,20.0,170000.0
United States of America,Post grad,35-44 years old,10.0,175000.0
Italy,Less than a Bachelors,35-44 years old,15.0,46406.0
Canada,Bachelor degree,35-44 years old,15.0,72958.0
United States of America,Bachelor degree,35-44 years old,20.0,134000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,12.0,56499.0
Germany,Master degree,25-34 years old,7.0,78890.0
Netherlands,Bachelor degree,25-34 years old,10.0,121815.0
United States of America,Bachelor degree,35-44 years old,20.0,131200.0
Germany,Bachelor degree,18-24 years old,5.0,41765.0
France,Master degree,18-24 years old,3.0,48726.0
United States of America,Bachelor degree,25-34 years old,7.0,144600.0
Germany,Bachelor degree,25-34 years old,4.0,127616.0
United States of America,Bachelor degree,35-44 years old,9.0,220000.0
Germany,Master degree,35-44 years old,10.0,92812.0
Germany,Master degree,25-34 years old,3.0,23203.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,35-44 years old,27.0,83319.0
Italy,Master degree,25-34 years old,2.0,32484.0
Italy,Post grad,35-44 years old,6.0,55687.0
United States of America,Bachelor degree,55-64 years old,42.0,135000.0
Netherlands,Bachelor degree,25-34 years old,8.0,203026.0
United States of America,Less than a Bachelors,45-54 years old,20.0,140000.0
United States of America,Bachelor degree,45-54 years old,6.0,115000.0
Canada,Less than a Bachelors,35-44 years old,18.0,102142.0
Germany,Less than a Bachelors,35-44 years old,15.0,93972.0
United States of America,Bachelor degree,25-34 years old,14.0,90000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,35-44 years old,15.0,74878.0
United States of America,Bachelor degree,25-34 years old,10.0,189122.0
Canada,Less than a Bachelors,55-64 years old,30.0,93387.0
United States of America,Master degree,45-54 years old,24.0,175000.0
Italy,Master degree,35-44 years old,16.0,197225.0
Germany,Master degree,25-34 years old,1.0,66824.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,45-54 years old,23.0,136141.0
United States of America,Master degree,45-54 years old,25.0,135000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,35-44 years old,15.0,106190.0
United States of America,Master degree,35-44 years old,23.0,104900.0
United States of America,Bachelor degree,45-54 years old,22.0,120000.0
United States of America,Bachelor degree,35-44 years old,5.0,250000.0
United States of America,Bachelor degree,35-44 years old,15.0,85000.0
Spain,Master degree,25-34 years old,10.0,69609.0
Netherlands,Bachelor degree,25-34 years old,5.0,71929.0
Netherlands,Bachelor degree,25-34 years old,14.0,110214.0
France,Post grad,25-34 years old,8.0,50994.0
United States of America,Post grad,45-54 years old,27.0,100000.0
India,Bachelor degree,25-34 years old,10.0,40684.0
Canada,Bachelor degree,45-54 years old,28.0,145917.0
United States of America,Bachelor degree,35-44 years old,13.0,165000.0
Canada,Less than a Bachelors,45-54 years old,30.0,83902.0
United States of America,Less than a Bachelors,35-44 years old,20.0,180000.0
Germany,Bachelor degree,55-64 years old,45.0,116015.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,25-34 years old,12.0,163370.0
United States of America,Less than a Bachelors,65 years or older,45.0,150000.0
United States of America,Bachelor degree,25-34 years old,8.0,110000.0
Netherlands,Bachelor degree,35-44 years old,13.0,87011.0
United Kingdom of Great Britain and Northern Ireland,Master degree,35-44 years old,15.0,64667.0
United States of America,Less than a Bachelors,35-44 years old,25.0,149950.0
Germany,Bachelor degree,25-34 years old,10.0,92812.0
United States of America,Bachelor degree,25-34 years old,10.0,160000.0
United Kingdom of Great Britain and Northern Ireland,Post grad,35-44 years old,6.0,94087.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,7.0,217826.0
Germany,Master degree,35-44 years old,18.0,58007.0
Germany,Less than a Bachelors,35-44 years old,22.0,110214.0
United Kingdom of Great Britain and Northern Ireland,Master degree,25-34 years old,6.0,102106.0
United States of America,Bachelor degree,35-44 years old,19.0,150000.0
United Kingdom of Great Britain and Northern Ireland,Master degree,25-34 years old,3.0,84408.0
Canada,Bachelor degree,45-54 years old,30.0,153213.0
Italy,Less than a Bachelors,25-34 years old,3.0,29584.0
United States of America,Bachelor degree,45-54 years old,23.0,132000.0
Canada,Less than a Bachelors,25-34 years old,7.0,71499.0
United Kingdom of Great Britain and Northern Ireland,Master degree,55-64 years old,32.0,99383.0
United States of America,Less than a Bachelors,25-34 years old,7.0,60000.0
Brazil,Bachelor degree,35-44 years old,20.0,54611.0
Canada,Bachelor degree,45-54 years old,30.0,202824.0
United States of America,Less than a Bachelors,45-54 years old,20.0,240000.0
United States of America,Bachelor degree,25-34 years old,6.0,103000.0
United States of America,Bachelor degree,35-44 years old,16.0,104000.0
Ukraine,Master degree,18-24 years old,3.0,10800.0
Canada,Bachelor degree,25-34 years old,11.0,145917.0
United States of America,Bachelor degree,45-54 years old,23.0,177000.0
Italy,Master degree,25-34 years old,7.0,35965.0
Spain,Less than a Bachelors,35-44 years old,18.0,87011.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,35-44 years old,20.0,91215.0
United States of America,Less than a Bachelors,45-54 years old,28.0,125000.0
Spain,Master degree,25-34 years old,5.0,26683.0
United States of America,Bachelor degree,35-44 years old,18.0,190000.0
United States of America,Bachelor degree,55-64 years old,36.0,88000.0
United States of America,Bachelor degree,55-64 years old,33.0,175000.0
Germany,Master degree,35-44 years old,12.0,106733.0
Netherlands,Less than a Bachelors,25-34 years old,15.0,65425.0
United States of America,Bachelor degree,35-44 years old,14.0,128000.0
Italy,Master degree,35-44 years old,14.0,55687.0
Ukraine,Master degree,35-44 years old,18.0,50000.0
Brazil,Bachelor degree,35-44 years old,11.0,16383.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,25-34 years old,10.0,81685.0
United States of America,Bachelor degree,35-44 years old,14.0,136000.0
Italy,Less than a Bachelors,25-34 years old,14.0,43505.0
Germany,Less than a Bachelors,25-34 years old,10.0,58007.0
Netherlands,Bachelor degree,25-34 years old,6.0,75410.0
United States of America,Post grad,35-44 years old,16.0,48000.0
United States of America,Bachelor degree,25-34 years old,11.0,76000.0
United States of America,Bachelor degree,55-64 years old,28.0,205000.0
United States of America,Less than a Bachelors,45-54 years old,22.0,170000.0
France,Master degree,35-44 years old,15.0,133417.0
United States of America,Master degree,55-64 years old,40.0,146000.0
United States of America,Bachelor degree,45-54 years old,25.0,145000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,45-54 years old,25.0,88492.0
United States of America,Bachelor degree,55-64 years old,5.0,91000.0
Canada,Bachelor degree,35-44 years old,10.0,72958.0
United States of America,Less than a Bachelors,55-64 years old,28.0,125000.0
France,Master degree,35-44 years old,15.0,110214.0
United States of America,Bachelor degree,65 years or older,50.0,144700.0
United States of America,Master degree,45-54 years old,10.0,82000.0
Germany,Master degree,35-44 years old,19.0,107894.0
United States of America,Master degree,45-54 years old,15.0,100000.0
United States of America,Bachelor degree,45-54 years old,27.0,240000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,6.0,47650.0
United States of America,Less than a Bachelors,45-54 years old,25.0,180000.0
Canada,Master degree,45-54 years old,25.0,221064.0
Spain,Master degree,35-44 years old,16.0,116015.0
United States of America,Bachelor degree,45-54 years old,30.0,200000.0
United States of America,Master degree,45-54 years old,25.0,200000.0
United States of America,Bachelor degree,35-44 years old,19.0,59000.0
United States of America,Master degree,65 years or older,50.0,85000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,45-54 years old,20.0,65348.0
India,Bachelor degree,18-24 years old,3.0,13949.0
United States of America,Less than a Bachelors,35-44 years old,23.0,104400.0
Ukraine,Master degree,18-24 years old,4.0,40000.0
Germany,Post grad,35-44 years old,6.0,81210.0
Canada,Bachelor degree,25-34 years old,10.0,87550.0
United Kingdom of Great Britain and Northern Ireland,Master degree,35-44 years old,15.0,61531.0
United States of America,Bachelor degree,45-54 years old,20.0,160000.0
Germany,Less than a Bachelors,55-64 years old,35.0,95132.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,45-54 years old,30.0,170177.0
Germany,Less than a Bachelors,25-34 years old,5.0,23203.0
United States of America,Bachelor degree,25-34 years old,10.0,140000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,55-64 years old,25.0,68071.0
United States of America,Less than a Bachelors,35-44 years old,10.0,180000.0
United States of America,Bachelor degree,35-44 years old,20.0,187000.0
United States of America,Bachelor degree,55-64 years old,35.0,113000.0
United States of America,Master degree,25-34 years old,9.0,190000.0
France,Master degree,35-44 years old,11.0,71001.0
United States of America,Bachelor degree,45-54 years old,30.0,150000.0
Ukraine,Master degree,25-34 years old,15.0,60000.0
United States of America,Bachelor degree,45-54 years old,35.0,160000.0
Germany,Bachelor degree,45-54 years old,25.0,139218.0
United States of America,Bachelor degree,25-34 years old,7.0,74000.0
Brazil,Master degree,35-44 years old,11.0,13107.0
Canada,Bachelor degree,55-64 years old,33.0,102142.0
Canada,Less than a Bachelors,35-44 years old,16.0,248058.0
United States of America,Less than a Bachelors,45-54 years old,36.0,110000.0
United States of America,Master degree,25-34 years old,3.0,73100.0
United States of America,Master degree,25-34 years old,7.0,45000.0
Ukraine,Less than a Bachelors,18-24 years old,1.0,73901.0
United States of America,Master degree,35-44 years old,13.0,200000.0
Germany,Less than a Bachelors,18-24 years old,1.0,18641.0
Canada,Bachelor degree,25-34 years old,9.0,91198.0
Germany,Bachelor degree,35-44 years old,9.0,92812.0
Germany,Bachelor degree,35-44 years old,7.0,71929.0
United States of America,Bachelor degree,45-54 years old,26.0,250000.0
Canada,Less than a Bachelors,35-44 years old,15.0,65663.0
United States of America,Post grad,55-64 years old,8.0,150000.0
Spain,Bachelor degree,45-54 years old,29.0,171702.0
United States of America,Bachelor degree,25-34 years old,9.0,175000.0
Germany,Bachelor degree,25-34 years old,3.0,48239.0
United States of America,Bachelor degree,35-44 years old,15.0,175000.0
United States of America,Bachelor degree,35-44 years old,15.0,165000.0
United States of America,Bachelor degree,25-34 years old,6.0,47840.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,11.0,85088.0
United States of America,Bachelor degree,45-54 years old,24.0,136000.0
United States of America,Bachelor degree,25-34 years old,4.0,75000.0
Canada,Bachelor degree,45-54 years old,31.0,51071.0
France,Master degree,25-34 years old,10.0,95132.0
France,Master degree,25-34 years old,3.0,52207.0
United States of America,Bachelor degree,35-44 years old,15.0,135000.0
Brazil,Bachelor degree,18-24 years old,6.0,12743.0
Germany,Less than a Bachelors,35-44 years old,16.0,97452.0
Germany,Bachelor degree,35-44 years old,13.0,98032.0
Italy,Bachelor degree,45-54 years old,25.0,69609.0
India,Bachelor degree,25-34 years old,5.0,12205.0
France,Master degree,25-34 years old,7.0,121815.0
United Kingdom of Great Britain and Northern Ireland,Master degree,35-44 years old,18.0,103468.0
United Kingdom of Great Britain and Northern Ireland,Post grad,65 years or older,42.0,108913.0
Netherlands,Less than a Bachelors,35-44 years old,9.0,82695.0
United States of America,Bachelor degree,25-34 years old,13.0,175000.0
United States of America,Bachelor degree,35-44 years old,18.0,180000.0
Canada,Bachelor degree,55-64 years old,35.0,67851.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,18-24 years old,3.0,75559.0
United States of America,Bachelor degree,35-44 years old,11.0,215000.0
Canada,Less than a Bachelors,45-54 years old,34.0,87550.0
United States of America,Bachelor degree,18-24 years old,3.0,75000.0
United States of America,Less than a Bachelors,35-44 years old,16.0,200000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,55-64 years old,39.0,84408.0
Brazil,Less than a Bachelors,45-54 years old,30.0,50606.0
Italy,Less than a Bachelors,35-44 years old,8.0,38671.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,45-54 years old,27.0,61264.0
United States of America,Bachelor degree,45-54 years old,25.0,250000.0
United States of America,Bachelor degree,25-34 years old,4.0,100000.0
United Kingdom of Great Britain and Northern Ireland,Master degree,25-34 years old,5.0,108913.0
United States of America,Less than a Bachelors,55-64 years old,41.0,155000.0
Canada,Bachelor degree,35-44 years old,16.0,91198.0
United States of America,Bachelor degree,35-44 years old,17.0,217000.0
United States of America,Master degree,25-34 years old,5.0,129000.0
United States of America,Less than a Bachelors,25-34 years old,9.0,77000.0
Spain,Less than a Bachelors,35-44 years old,15.0,90491.0
United States of America,Bachelor degree,25-34 years old,6.0,128000.0
United States of America,Bachelor degree,35-44 years old,18.0,150000.0
United States of America,Master degree,18-24 years old,2.0,70000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,45-54 years old,28.0,84408.0
