Country,YearsCodePro,Employment,EdLevel,ConvertedCompYearly,OrgSize,Age
France,7.0,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",101896.0,Other,25-34 years old
United States of America,18.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",210000.0,"1,000 to 4,999 employees",45-54 years old
Czech Republic,11.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",52122.0,"10,000 or more employees",35-44 years old
France,8.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",54777.0,Other,25-34 years old
Canada,24.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",210000.0,"10,000 or more employees",45-54 years old
Germany,15.0,"Student, part-time;Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",27926.0,100 to 499 employees,35-44 years old
Italy,27.0,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,107406.0,20 to 99 employees,45-54 years old
Brazil,12.0,"Employed, full-time",Some college/university study without earning a degree,37297.0,100 to 499 employees,25-34 years old
Germany,11.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",85925.0,100 to 499 employees,35-44 years old
United States of America,26.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",140000.0,"10,000 or more employees",45-54 years old
"Iran, Islamic Republic of...",9.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",210000.0,Other,25-34 years old
Italy,7.0,"Student, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4833.0,Other,25-34 years old
United States of America,40.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",200000.0,Other,55-64 years old
Ukraine,0.5,"Employed, full-time",Primary/elementary school,3497.0000000000005,100 to 499 employees,18-24 years old
United States of America,4.0,"Employed, full-time","Associate degree (A.A., A.S., etc.)",93000.0,"10,000 or more employees",25-34 years old
Russian Federation,14.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",67227.0,"1,000 to 4,999 employees",35-44 years old
Germany,10.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",144998.0,"10,000 or more employees",25-34 years old
France,16.0,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,59073.0,Other,35-44 years old
Canada,17.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",119943.0,"1,000 to 4,999 employees",35-44 years old
United States of America,9.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",100000.0,Other,35-44 years old
Dominican Republic,7.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14142.0,"5,000 to 9,999 employees",25-34 years old
United States of America,22.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",102000.0,"1,000 to 4,999 employees",55-64 years old
Turkey,15.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",123654.0,"1,000 to 4,999 employees",35-44 years old
Ukraine,1.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3497.0000000000005,Other,25-34 years old
Germany,20.0,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,42962.0,Other,35-44 years old
United States of America,11.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",170000.0,100 to 499 employees,35-44 years old
Austria,5.0,"Student, part-time;Employed, part-time",Some college/university study without earning a degree,42962.0,Other,25-34 years old
United States of America,1.0,"Employed, full-time;Student, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",136000.0,100 to 499 employees,25-34 years old
Italy,28.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",48333.0,500 to 999 employees,55-64 years old
United States of America,3.0,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,3497.0000000000005,Other,25-34 years old
Switzerland,44.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",167125.0,Other,55-64 years old
France,25.0,"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,53703.0,Other,45-54 years old
Belgium,42.0,Retired,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",46185.0,Other,65 years or older
Peru,13.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",79218.0,"10,000 or more employees",25-34 years old
United States of America,20.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",175000.0,20 to 99 employees,45-54 years old
United States of America,10.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",210000.0,"10,000 or more employees",25-34 years old
Germany,16.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",85925.0,"10,000 or more employees",35-44 years old
Bolivia,10.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",31200.0,100 to 499 employees,35-44 years old
Germany,11.0,"Independent contractor, freelancer, or self-employed;Employed, part-time",Something else,55851.0,100 to 499 employees,25-34 years old
United States of America,25.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",130000.0,20 to 99 employees,45-54 years old
France,10.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",90221.0,20 to 99 employees,25-34 years old
Morocco,0.5,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3618.0,20 to 99 employees,18-24 years old
United States of America,13.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",150000.0,"5,000 to 9,999 employees",35-44 years old
United States of America,19.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",210000.0,"10,000 or more employees",35-44 years old
India,4.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13160.0,Other,25-34 years old
United States of America,9.0,"Employed, full-time",Some college/university study without earning a degree,160000.0,"1,000 to 4,999 employees",25-34 years old
Turkey,13.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3497.0000000000005,Other,35-44 years old
Luxembourg,7.0,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",118147.0,Other,35-44 years old
Georgia,17.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",50340.0,"10,000 or more employees",35-44 years old
United Kingdom of Great Britain and Northern Ireland,3.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",49681.0,Other,25-34 years old
United States of America,9.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100000.0,Other,25-34 years old
Saudi Arabia,10.0,"Independent contractor, freelancer, or self-employed;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16532.0,"1,000 to 4,999 employees",35-44 years old
United States of America,15.0,"Employed, full-time","Associate degree (A.A., A.S., etc.)",100000.0,500 to 999 employees,35-44 years old
United States of America,22.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",210000.0,100 to 499 employees,35-44 years old
Ukraine,2.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3497.0000000000005,"1,000 to 4,999 employees",18-24 years old
United States of America,13.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",210000.0,"10,000 or more employees",35-44 years old
Brazil,11.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10630.0,20 to 99 employees,25-34 years old
United States of America,22.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",210000.0,"1,000 to 4,999 employees",35-44 years old
Canada,12.0,"Employed, full-time",Some college/university study without earning a degree,210000.0,"5,000 to 9,999 employees",25-34 years old
United States of America,35.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",140000.0,Other,55-64 years old
United States of America,20.0,"Not employed, but looking for work","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",180000.0,Other,35-44 years old
Germany,26.0,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",42962.0,Other,35-44 years old
United Kingdom of Great Britain and Northern Ireland,10.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",75159.0,20 to 99 employees,35-44 years old
United States of America,25.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",150000.0,Other,45-54 years old
United Kingdom of Great Britain and Northern Ireland,9.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",104458.0,20 to 99 employees,25-34 years old
Ukraine,5.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",65000.0,"10,000 or more employees",25-34 years old
United States of America,15.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",100000.0,Other,45-54 years old
Ireland,7.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",47259.0,Other,25-34 years old
United States of America,31.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",150000.0,100 to 499 employees,65 years or older
United States of America,11.0,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",150000.0,Other,25-34 years old
Germany,12.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",96666.0,"10,000 or more employees",25-34 years old
United States of America,10.0,"Employed, full-time","Associate degree (A.A., A.S., etc.)",150000.0,100 to 499 employees,35-44 years old
United States of America,7.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",210000.0,"10,000 or more employees",25-34 years old
Ukraine,8.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3497.0000000000005,500 to 999 employees,25-34 years old
United Kingdom of Great Britain and Northern Ireland,41.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",152865.0,"10,000 or more employees",55-64 years old
Romania,2.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3497.0000000000005,"10,000 or more employees",18-24 years old
Italy,25.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",29000.0,500 to 999 employees,45-54 years old
Ukraine,2.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3497.0000000000005,Other,18-24 years old
United Kingdom of Great Britain and Northern Ireland,10.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",67516.0,"10,000 or more employees",35-44 years old
Italy,36.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",64444.0,Other,55-64 years old
United States of America,20.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",185000.0,"10,000 or more employees",55-64 years old
Switzerland,7.0,"Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",88019.0,20 to 99 employees,25-34 years old
United States of America,24.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",55000.0,Other,25-34 years old
Spain,10.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",85925.0,500 to 999 employees,25-34 years old
Spain,11.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",91295.0,Other,25-34 years old
India,5.0,"Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5982.0,Other,18-24 years old
France,12.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",67666.0,"5,000 to 9,999 employees",25-34 years old
Italy,11.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",178343.0,20 to 99 employees,25-34 years old
France,6.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",63370.0,100 to 499 employees,25-34 years old
United Kingdom of Great Britain and Northern Ireland,14.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",85350.0,20 to 99 employees,35-44 years old
United States of America,3.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",120000.0,"10,000 or more employees",25-34 years old
Germany,20.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",97740.0,Other,35-44 years old
United States of America,7.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",205000.0,"10,000 or more employees",25-34 years old
Cyprus,11.0,"Employed, full-time",Some college/university study without earning a degree,93980.0,100 to 499 employees,25-34 years old
Paraguay,9.0,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100000.0,20 to 99 employees,35-44 years old
Switzerland,6.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",128129.0,100 to 499 employees,18-24 years old
France,12.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",44037.0,100 to 499 employees,25-34 years old
United States of America,1.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",101000.0,"1,000 to 4,999 employees",25-34 years old
United States of America,24.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",210000.0,20 to 99 employees,45-54 years old
Ireland,30.0,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,161109.0,100 to 499 employees,45-54 years old
Germany,14.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",89147.0,"1,000 to 4,999 employees",35-44 years old
Lithuania,10.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",90221.0,"10,000 or more employees",25-34 years old
Italy,10.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",86999.0,100 to 499 employees,25-34 years old
United States of America,17.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",190000.0,20 to 99 employees,25-34 years old
United Kingdom of Great Britain and Northern Ireland,0.5,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",31847.0,20 to 99 employees,18-24 years old
Italy,30.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",37592.0,Other,45-54 years old
Netherlands,30.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",53703.0,20 to 99 employees,55-64 years old
Netherlands,11.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",150369.0,"1,000 to 4,999 employees",25-34 years old
Germany,1.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10955.0,100 to 499 employees,18-24 years old
Slovenia,6.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Associate degree (A.A., A.S., etc.)",53703.0,100 to 499 employees,25-34 years old
Romania,17.0,"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,161109.0,"1,000 to 4,999 employees",35-44 years old
Spain,24.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",32222.0,20 to 99 employees,35-44 years old
India,11.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",47854.0,20 to 99 employees,25-34 years old
United States of America,5.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",118000.0,Other,18-24 years old
United States of America,20.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",150000.0,100 to 499 employees,45-54 years old
United States of America,2.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",87250.0,"5,000 to 9,999 employees",35-44 years old
Germany,5.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",55851.0,20 to 99 employees,18-24 years old
Spain,22.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",42962.0,100 to 499 employees,45-54 years old
Singapore,35.0,"Employed, part-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",210000.0,"1,000 to 4,999 employees",45-54 years old
Netherlands,6.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",56925.0,"5,000 to 9,999 employees",25-34 years old
Germany,8.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",91295.0,Other,35-44 years old
Russian Federation,18.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",56022.0,20 to 99 employees,45-54 years old
United States of America,10.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",124000.0,"1,000 to 4,999 employees",25-34 years old
Brazil,4.0,"Employed, full-time",Some college/university study without earning a degree,10070.0,100 to 499 employees,18-24 years old
Italy,11.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",91295.0,100 to 499 employees,25-34 years old
United States of America,40.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",120000.0,"10,000 or more employees",55-64 years old
France,1.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",44037.0,20 to 99 employees,25-34 years old
Pakistan,7.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",85925.0,500 to 999 employees,25-34 years old
Netherlands,26.0,"Employed, full-time",Some college/university study without earning a degree,6230.0,Other,45-54 years old
India,,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",43068.0,100 to 499 employees,25-34 years old
Ukraine,2.0,"Employed, full-time",Some college/university study without earning a degree,4937.0,Other,45-54 years old
Germany,17.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",139628.0,20 to 99 employees,45-54 years old
Canada,5.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Associate degree (A.A., A.S., etc.)",181732.0,100 to 499 employees,25-34 years old
United States of America,10.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",205000.0,"10,000 or more employees",25-34 years old
United States of America,20.0,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",210000.0,Other,45-54 years old
United States of America,20.0,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",210000.0,Other,55-64 years old
"Venezuela, Bolivarian Republic of...",20.0,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12000.0,Other,55-64 years old
Japan,7.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",50915.0,100 to 499 employees,35-44 years old
France,6.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",69814.0,500 to 999 employees,25-34 years old
United Kingdom of Great Britain and Northern Ireland,18.0,"Employed, full-time","Associate degree (A.A., A.S., etc.)",49681.0,"1,000 to 4,999 employees",35-44 years old
Latvia,13.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",32222.0,Other,25-34 years old
United States of America,5.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",210000.0,100 to 499 employees,25-34 years old
United States of America,13.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",163000.0,"1,000 to 4,999 employees",35-44 years old
Sweden,9.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",70584.0,"5,000 to 9,999 employees",25-34 years old
Costa Rica,15.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",200000.0,20 to 99 employees,25-34 years old
Italy,38.0,"Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",107406.0,Other,55-64 years old
Poland,12.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",74239.0,"10,000 or more employees",35-44 years old
India,4.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9571.0,"1,000 to 4,999 employees",18-24 years old
France,5.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",66592.0,"1,000 to 4,999 employees",35-44 years old
United Kingdom of Great Britain and Northern Ireland,20.0,"Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",57325.0,"10,000 or more employees",65 years or older
United Kingdom of Great Britain and Northern Ireland,23.0,"Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",56051.0,20 to 99 employees,35-44 years old
Italy,10.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27926.0,Other,35-44 years old
Germany,25.0,"Independent contractor, freelancer, or self-employed","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",210000.0,Other,45-54 years old
United States of America,7.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",105000.0,"5,000 to 9,999 employees",25-34 years old
Brazil,38.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",49233.0,"10,000 or more employees",55-64 years old
Czech Republic,18.0,"Employed, full-time",Some college/university study without earning a degree,43435.0,100 to 499 employees,35-44 years old
Ukraine,6.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",48000.0,100 to 499 employees,25-34 years old
United States of America,12.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",70000.0,100 to 499 employees,35-44 years old
United States of America,25.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",150000.0,"1,000 to 4,999 employees",45-54 years old
United Kingdom of Great Britain and Northern Ireland,13.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",127388.0,20 to 99 employees,35-44 years old
Spain,31.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",53703.0,"5,000 to 9,999 employees",45-54 years old
Netherlands,12.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",91295.0,"5,000 to 9,999 employees",25-34 years old
Canada,15.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",122124.0,100 to 499 employees,35-44 years old
Spain,14.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",80555.0,"1,000 to 4,999 employees",35-44 years old
Norway,10.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",149746.0,20 to 99 employees,35-44 years old
United States of America,26.0,"Employed, full-time",Some college/university study without earning a degree,210000.0,"1,000 to 4,999 employees",45-54 years old
Germany,9.0,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",137136.0,Other,35-44 years old
United States of America,,"Employed, part-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",32744.0,Other,25-34 years old
Austria,14.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",80555.0,100 to 499 employees,25-34 years old
United States of America,17.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",175000.0,20 to 99 employees,25-34 years old
United States of America,1.0,"Employed, full-time;Student, full-time",Some college/university study without earning a degree,39520.0,Other,18-24 years old
